index,class,dividend_signed,divisor_signed,dividend_hex,divisor_hex,expected_hex,divide_by_zero
57,directed_boundary,0,8589934592,0000000000,0200000000,000000000000000000,0
58,directed_boundary,0,549755813887,0000000000,7fffffffff,000000000000000000,0
59,directed_boundary,0,-549755813888,0000000000,8000000000,000000000000000000,0
60,directed_boundary,1,0,0000000001,0000000000,000000000000000000,1
61,directed_boundary,1,1,0000000001,0000000001,000000000100000000,0
62,directed_boundary,1,-1,0000000001,ffffffffff,ffffffffff00000000,0
63,directed_boundary,1,2,0000000001,0000000002,000000000080000000,0
64,directed_boundary,1,-2,0000000001,fffffffffe,ffffffffff80000000,0
65,directed_boundary,1,3,0000000001,0000000003,000000000055555555,0
66,directed_boundary,1,-3,0000000001,fffffffffd,ffffffffffaaaaaaab,0
67,directed_boundary,1,4294967296,0000000001,0100000000,000000000000000001,0
68,directed_boundary,1,8589934592,0000000001,0200000000,000000000000000000,0
69,directed_boundary,1,549755813887,0000000001,7fffffffff,000000000000000000,0
70,directed_boundary,1,-549755813888,0000000001,8000000000,000000000000000000,0
71,directed_boundary,-1,0,ffffffffff,0000000000,000000000000000000,1
72,directed_boundary,-1,1,ffffffffff,0000000001,ffffffffff00000000,0
73,directed_boundary,-1,-1,ffffffffff,ffffffffff,000000000100000000,0
74,directed_boundary,-1,2,ffffffffff,0000000002,ffffffffff80000000,0
75,directed_boundary,-1,-2,ffffffffff,fffffffffe,000000000080000000,0
76,directed_boundary,-1,3,ffffffffff,0000000003,ffffffffffaaaaaaab,0
77,directed_boundary,-1,-3,ffffffffff,fffffffffd,000000000055555555,0
78,directed_boundary,-1,4294967296,ffffffffff,0100000000,ffffffffffffffffff,0
79,directed_boundary,-1,8589934592,ffffffffff,0200000000,ffffffffffffffffff,0
80,directed_boundary,-1,549755813887,ffffffffff,7fffffffff,000000000000000000,0
81,directed_boundary,-1,-549755813888,ffffffffff,8000000000,000000000000000000,0
82,directed_boundary,2,0,0000000002,0000000000,000000000000000000,1
83,directed_boundary,2,1,0000000002,0000000001,000000000200000000,0
84,directed_boundary,2,-1,0000000002,ffffffffff,fffffffffe00000000,0
85,directed_boundary,2,2,0000000002,0000000002,000000000100000000,0
86,directed_boundary,2,-2,0000000002,fffffffffe,ffffffffff00000000,0
87,directed_boundary,2,3,0000000002,0000000003,0000000000aaaaaaab,0
88,directed_boundary,2,-3,0000000002,fffffffffd,ffffffffff55555555,0
89,directed_boundary,2,4294967296,0000000002,0100000000,000000000000000002,0
90,directed_boundary,2,8589934592,0000000002,0200000000,000000000000000001,0
91,directed_boundary,2,549755813887,0000000002,7fffffffff,000000000000000000,0
92,directed_boundary,2,-549755813888,0000000002,8000000000,000000000000000000,0
93,directed_boundary,-2,0,fffffffffe,0000000000,000000000000000000,1
94,directed_boundary,-2,1,fffffffffe,0000000001,fffffffffe00000000,0
95,directed_boundary,-2,-1,fffffffffe,ffffffffff,000000000200000000,0
96,directed_boundary,-2,2,fffffffffe,0000000002,ffffffffff00000000,0
97,directed_boundary,-2,-2,fffffffffe,fffffffffe,000000000100000000,0
98,directed_boundary,-2,3,fffffffffe,0000000003,ffffffffff55555555,0
99,directed_boundary,-2,-3,fffffffffe,fffffffffd,0000000000aaaaaaab,0
100,directed_boundary,-2,4294967296,fffffffffe,0100000000,fffffffffffffffffe,0
101,directed_boundary,-2,8589934592,fffffffffe,0200000000,ffffffffffffffffff,0
102,directed_boundary,-2,549755813887,fffffffffe,7fffffffff,000000000000000000,0
103,directed_boundary,-2,-549755813888,fffffffffe,8000000000,000000000000000000,0
104,directed_boundary,549755813887,0,7fffffffff,0000000000,000000000000000000,1
105,directed_boundary,549755813887,1,7fffffffff,0000000001,7fffffffff00000000,0
106,directed_boundary,549755813887,-1,7fffffffff,ffffffffff,800000000100000000,0
107,directed_boundary,549755813887,2,7fffffffff,0000000002,3fffffffff80000000,0
108,directed_boundary,549755813887,-2,7fffffffff,fffffffffe,c00000000080000000,0
109,directed_boundary,549755813887,3,7fffffffff,0000000003,2aaaaaaaaa55555555,0
110,directed_boundary,549755813887,-3,7fffffffff,fffffffffd,d555555555aaaaaaab,0
111,directed_boundary,549755813887,4294967296,7fffffffff,0100000000,000000007fffffffff,0
112,directed_boundary,549755813887,8589934592,7fffffffff,0200000000,000000003fffffffff,0
113,directed_boundary,549755813887,549755813887,7fffffffff,7fffffffff,000000000100000000,0
114,directed_boundary,549755813887,-549755813888,7fffffffff,8000000000,ffffffffff00000000,0
115,directed_boundary,-549755813888,0,8000000000,0000000000,000000000000000000,1
116,directed_boundary,-549755813888,1,8000000000,0000000001,800000000000000000,0
117,directed_boundary,-549755813888,-1,8000000000,ffffffffff,800000000000000000,0
118,directed_boundary,-549755813888,2,8000000000,0000000002,c00000000000000000,0
119,directed_boundary,-549755813888,-2,8000000000,fffffffffe,400000000000000000,0
120,directed_boundary,-549755813888,3,8000000000,0000000003,d55555555555555555,0
121,directed_boundary,-549755813888,-3,8000000000,fffffffffd,2aaaaaaaaaaaaaaaab,0
122,directed_boundary,-549755813888,4294967296,8000000000,0100000000,ffffffff8000000000,0
123,directed_boundary,-549755813888,8589934592,8000000000,0200000000,ffffffffc000000000,0
124,directed_boundary,-549755813888,549755813887,8000000000,7fffffffff,ffffffffff00000000,0
125,directed_boundary,-549755813888,-549755813888,8000000000,8000000000,000000000100000000,0
126,rls_trace_real,75505408,679620103,0004801f00,0028822e07,00000000001c71032f,0
127,rls_trace_imag,0,679620103,0000000000,0028822e07,000000000000000000,0
128,rls_trace_real,82969216,820623735,0004f20280,0030e9b977,000000000019e20583,0
129,rls_trace_imag,5248,820623735,0000001480,0030e9b977,000000000000006b4b,0
130,rls_trace_real,95125504,1078708371,0005ab8000,00404bc893,0000000000169344ab,0
131,rls_trace_imag,12672,1078708371,0000003180,00404bc893,00000000000000c517,0
132,rls_trace_real,110848000,1464757856,00069b6800,00574e6e60,0000000000135f8be0,0
133,rls_trace_imag,19328,1464757856,0000004b80,00574e6e60,00000000000000dd62,0
134,rls_trace_real,131877760,2073257452,0007dc4b80,007b9365ec,00000000001048ad57,0
135,rls_trace_imag,21760,2073257452,0000005500,007b9365ec,00000000000000b016,0
136,deterministic_random,415797938125,0,60cf7d07cd,0000000000,000000000000000000,1
137,deterministic_random,165346524351,-63411295208,267f6bbcbf,f13c646c18,fffffffffd64794157,0
138,deterministic_random,-506355321684,-187649599255,8a1adef4ac,d44f3658e9,0000000002b2caea8e,0
139,deterministic_random,-521476214937,305635520787,8695986f67,47294bf113,fffffffffe4b36493e,0
140,deterministic_random,-20665153154,-350753087088,fb3042c97e,ae557ca190,00000000000f152746,0
141,deterministic_random,-156144156196,49808688542,dba51541dc,0b98d4459e,fffffffffcdd78a497,0
142,deterministic_random,-15440167994,-231887651538,fc67b1bbc6,ca026b3d2e,0000000000110bb1c5,0
143,deterministic_random,535658046363,-409406012590,7cb7b5239b,a0ad800352,fffffffffeb10e1a68,0
144,deterministic_random,351876984650,84816012486,51ed80af4a,13bf6da4c6,00000000042611d102,0
145,deterministic_random,-400267635261,-292157315474,a2ce3095c3,bbfa11266e,00000000015ebb0984,0
146,deterministic_random,-490971405869,356466201469,8dafd2e1d3,52ff0a937d,fffffffffe9f6755e8,0
147,deterministic_random,-455587884918,-399694501596,95ecd8908a,a2f059e924,000000000123cc9243,0
148,deterministic_random,-279952201889,374059523961,bed18c675f,5717af5f79,ffffffffff4067cc02,0
149,deterministic_random,-348400856508,-201622807556,aee1b0d244,d10e581bfc,0000000001ba5d1e14,0
150,deterministic_random,-145732057449,-497997025393,de11b14697,8c0d106f8f,00000000004aea381e,0
151,deterministic_random,433359732917,377519672327,64e640c0b5,57e5ed0c07,000000000125dda00d,0
152,deterministic_random,-308793814607,479129853265,b81a7451b1,6f8e5d5d51,ffffffffff5b02c887,0
153,deterministic_random,-427081954837,-105384268471,9c8fee89eb,e7769bad49,00000000040d783b2d,0
154,deterministic_random,-244841261888,467309509827,c6fe52d4c0,6ccdd13cc3,ffffffffff79df3124,0
155,deterministic_random,373496796057,322513311087,56f624d399,4b174a956f,000000000128780c84,0
156,deterministic_random,-463029758314,-521025308997,9431469696,86b078b6bb,0000000000e38128e4,0
157,deterministic_random,-270744211672,282951895539,c0f6632f28,41e13f49f3,ffffffffff0b0b7ca4,0
158,deterministic_random,444071962884,-147596667754,6764c06904,dda28d9496,fffffffffcfdc6c87f,0
159,deterministic_random,-461890246166,-469269035821,94753229ea,92bd62c4d3,0000000000fbf982f0,0
160,deterministic_random,534091269655,480277755053,7c5a520617,6fd2c8f4ad,00000000011caf16e3,0
161,deterministic_random,64448890413,-165412058516,0f0174062d,d97cac4a6c,ffffffffff9c417332,0
162,deterministic_random,291036983073,117311361449,43c327ef21,1b504d51a9,00000000027b1bd48c,0
163,deterministic_random,-377710407534,-345774614012,a80eb49092,af7e3a1a04,000000000117a4ea1b,0
164,deterministic_random,-534584622908,505103243545,83884600c4,759a7fd919,fffffffffef10edba0,0
165,deterministic_random,334972287790,264928376661,4dfde77b2e,3daef63755,000000000143aef053,0
166,deterministic_random,241402624720,-103664194230,3834b7bad0,e7dd21ed4a,fffffffffdabda6ef1,0
167,deterministic_random,222600968201,303257724960,33d40d3809,469b91a820,0000000000bbe98a9b,0
168,deterministic_random,8082193262,-51714423897,01e1bc7b6e,f3f59483a7,ffffffffffd7fdb354,0
169,deterministic_random,26900137064,-17272528867,06435f8468,fbfa7a201d,fffffffffe714e9c58,0
170,deterministic_random,422900554207,34621262608,6276d659df,080f968b10,000000000c370db4f3,0
171,deterministic_random,-292960461407,211018488968,bbca321da1,3121ae9c88,fffffffffe9c97494d,0
172,deterministic_random,503349407924,435361615653,7531f670b4,655d930f25,000000000127fa5c6d,0
173,deterministic_random,103559173563,385768384187,181c9b95bb,59d19666bb,000000000044b91473,0
174,deterministic_random,-225561379005,46480395363,cb7b7e7f43,0ad2728c63,fffffffffb25ad0b0b,0
175,deterministic_random,494022613434,-203745337448,73060ad9ba,d08fd4df98,fffffffffd934671d6,0
176,deterministic_random,-190330268473,-118326949535,d3af6e94c7,e4732a0961,00000000019bc76a34,0
177,deterministic_random,-108573214166,-100569564387,e6b8883a2a,e895963b1d,0000000001145f90e0,0
178,deterministic_random,-55140083592,499556496625,f329651878,744fe334f1,ffffffffffe3be4339,0
179,deterministic_random,-160154598130,2959796327,dab60ac50e,00b06ae867,ffffffffc9e3d69f3e,0
180,deterministic_random,-184692000132,146493077810,d4ff7fba7c,221baaf932,fffffffffebd3f1b52,0
181,deterministic_random,-132606705799,-498111042861,e120063f79,8c0644aad3,00000000004426f06e,0
182,deterministic_random,-64139594671,-544156930500,f110fb7451,814db82e3c,00000000001e2cb4d1,0
183,deterministic_random,-139059759424,513101316078,df9f6476c0,777738bfee,ffffffffffba9e8e49,0
184,deterministic_random,173485491786,237783068412,28648a864a,375cf9aefc,0000000000bac6c7c6,0
185,deterministic_random,368737100300,348563254042,55da71a20c,5127fd2b1a,00000000010ed10960,0
186,deterministic_random,524711938303,23813613932,7a2b44c8ff,058b66e96c,000000001608bbd81d,0
187,deterministic_random,534351725583,-494625265667,7c69d8440f,8cd60967fd,fffffffffeeb706478,0
188,deterministic_random,-437231693419,454480839888,9a32f5d195,69d12b44d0,ffffffffff09b7525c,0
189,deterministic_random,-293059977733,-355497331411,bbc4439dfb,ad3ab5352d,0000000000d309a97f,0
190,deterministic_random,462732919087,44868944855,6bbd08012f,0a7265c3d7,000000000a50200636,0
191,deterministic_random,477299370079,-126799227574,6f2142685f,e27a2d554a,fffffffffc3c5c8044,0
192,deterministic_random,37051401525,122793726328,08a06f8535,1c97139178,00000000004d3ea196,0
193,deterministic_random,181634753169,-461911264513,2a4a466291,9473f172ff,ffffffffff9b55a646,0
194,deterministic_random,-63713758693,85570340732,f12a5d321b,13ec63c77c,ffffffffff41635cd3,0
195,deterministic_random,-103357937270,-426027217399,e7ef63098a,9ccecc8e09,00000000003e1b9ba9,0
196,deterministic_random,-400400413866,70787435610,a2c6468b56,107b428c5a,fffffffffa57f7af62,0
197,deterministic_random,501348764934,-291785080511,74bab70d06,bc10410141,fffffffffe48233a32,0
198,deterministic_random,420942954026,-528073018521,620227be2a,850c653367,ffffffffff33ef465b,0
199,deterministic_random,428292302779,-343274428107,63b835e7bb,b0133fe935,fffffffffec098df0b,0
200,deterministic_random,28793297066,-95689852531,06b436d8aa,e9b870b98d,ffffffffffb2f8110e,0
201,deterministic_random,-22001705780,496522241066,fae0989ccc,739b08242a,fffffffffff4a7fe59,0
202,deterministic_random,-285818979741,-16965890121,bd73dc7a63,fc0cc10fb7,0000000010d8c03e8e,0
203,deterministic_random,127369539834,-516707887789,1da7d0f0fa,87b1cf5553,ffffffffffc0e53e4f,0
204,deterministic_random,408592291867,-442806812223,5f21ff981b,98e6a841c1,ffffffffff13c7cb74,0
205,deterministic_random,156806692081,37287819681,2482683cf1,08ae86f9a1,0000000004348eef38,0
206,deterministic_random,-182822100503,-489673314286,d56ef421e9,8dfd323012,00000000005f94359a,0
207,deterministic_random,387414772091,363687469461,5a33b8497b,54ad766195,000000000110b3a0e5,0
208,deterministic_random,266528003452,328065314293,3e0e4e957c,4c62376df5,0000000000cffafe36,0
209,deterministic_random,-542474879513,-71536274198,81b1fa3de7,ef581b14ea,0000000007954d8413,0
210,deterministic_random,384769783010,-354974913193,599610f4e2,ad59d8ad57,fffffffffeea8339fd,0
211,deterministic_random,315817548418,-413697626378,4988315a82,9fadb32ef6,ffffffffff3c91b1a8,0
212,deterministic_random,64512434851,423447712345,0f053da2a3,6297735259,000000000027006fd3,0
213,deterministic_random,-63567245709,-172565429360,f13318ce73,d7d24c8390,00000000005e4d3ccd,0
214,deterministic_random,-322515518801,271964678486,b4e893baaf,3f525ba956,fffffffffed06aa3a3,0
215,deterministic_random,-402936663227,-432457528888,a22f1a7345,9b4f85c9c8,0000000000ee86503b,0
216,deterministic_random,93195300296,194310821600,15b2df6dc8,2d3dd3d6e0,00000000007ac85b82,0
217,deterministic_random,471550456923,-20210049764,6dca98f45b,fb4b631d1c,ffffffffe8aae2fefd,0
218,deterministic_random,-273782479707,-215913669294,c0414ae4a5,cdba8add52,0000000001449cd896,0
219,deterministic_random,535397190325,231203043759,7ca828cab5,35d4c679af,000000000250d1ccff,0
220,deterministic_random,70499142917,130138714919,106a138d05,1e4cdf3327,00000000008aae5ccc,0
221,deterministic_random,192127965582,499744426620,2cbbb8198e,745b16ca7c,0000000000626b79ad,0
222,deterministic_random,193301408657,-64153320037,2d01a96b91,f1102a059b,fffffffffcfca46a7a,0
223,deterministic_random,-92500451114,-351050829882,ea768b20d6,ae43bd6fc6,000000000043747779,0
224,deterministic_random,60095797137,-91679786754,0dfdfd1791,eaa77578fe,ffffffffff58315e60,0
225,deterministic_random,342020860173,-291245999051,4fa208290d,bc3062bc35,fffffffffed35eabd4,0
226,deterministic_random,111904455293,248264259548,1a0e067a7d,39cdb3f7dc,000000000073642d88,0
227,deterministic_random,-284335349740,-276673286565,bdcc4ae014,bf94fcae5b,00000000010716ec88,0
228,deterministic_random,-170420825441,196858821611,d85220929f,2dd5b33beb,ffffffffff22616fdf,0
229,deterministic_random,175594738148,335520341757,28e24311e4,4e1e921efd,000000000085fa4c5c,0
230,deterministic_random,280661525309,227343734272,4158bb033d,34eebe1600,00000000013c09d4b6,0
231,deterministic_random,-307103273680,445483865323,b87f37ed30,67b8e854eb,ffffffffff4f85704b,0
232,deterministic_random,66914794593,-238751231811,0f946ebc61,c8695150bd,ffffffffffb8403a98,0
233,deterministic_random,181413816340,495985251390,2a3d1b2814,737b06543e,00000000005da2bea9,0
234,deterministic_random,67533453631,-523240161349,0fb94eb93f,862c74bfbb,ffffffffffdef569bc,0
235,deterministic_random,69144977057,186710662157,10195c9ea1,2b78d29c0d,00000000005ece17ec,0
236,deterministic_random,452566505263,333498835898,695f10d72f,4da61463ba,00000000015b6609fe,0
237,deterministic_random,62443347646,-157167378165,0e89e9debe,db6818210b,ffffffffff9a4a3c34,0
238,deterministic_random,-478945540426,307194761637,907c9f06b6,47863c11a5,fffffffffe70df3585,0
239,deterministic_random,255094549248,8298361466,3b64d1eb00,01ee9ef27a,000000001ebd87aedf,0
240,deterministic_random,29227776509,450382686986,06ce1c79fd,68dce66b0a,0000000000109cfc96,0
241,deterministic_random,-156609253091,478724032480,db895c711d,6f762d07e0,ffffffffffac40a006,0
242,deterministic_random,252754471948,-69136495348,3ad9572c0c,efe724cd0c,fffffffffc58187e57,0
243,deterministic_random,328381385985,-149157523327,4c750e4d01,dd4584d081,fffffffffdcc659ea2,0
244,deterministic_random,46265057975,-276980526367,0ac59cc2b7,bf82ac92e1,ffffffffffd53d4900,0
245,deterministic_random,311731427273,-463030801422,4894a417c9,943136abf2,ffffffffff53a6766e,0
246,deterministic_random,134526249276,34620773280,1f5263a93c,080f8f13a0,0000000003e2bdd2b3,0
247,deterministic_random,325035626531,150583555232,4bada21023,230f7ab4a0,00000000022893e6aa,0
248,deterministic_random,327092689563,-236536509727,4c283e5a9b,c8ed534ae1,fffffffffe9dfe0c27,0
249,deterministic_random,-304957270864,312956366359,b8ff2154b0,48dda72e17,ffffffffff068b15ee,0
250,deterministic_random,105036464234,191643469459,1874a9406a,2c9ed74693,00000000008c4f2553,0
251,deterministic_random,-260045427621,-446599710745,c37415ac5b,98049537e7,0000000000951034d7,0
252,deterministic_random,-530577542013,-254235598542,84771d3483,c4ce60a132,000000000216427fdd,0
253,deterministic_random,-263926687815,499590095501,c28cbe57b9,7451e3e28d,ffffffffff78c237ca,0
254,deterministic_random,145589300750,407195323147,21e5cc6e0e,5ecebb8b0b,00000000005b87da07,0
255,deterministic_random,352140182922,-479418906672,51fd30c58a,90606807d0,ffffffffff43f6da06,0
256,deterministic_random,-345089402801,-297914456468,afa711984f,baa2ea266c,00000000012889aafa,0
257,deterministic_random,276791293779,-424876859439,40720bf753,9d135d9fd1,ffffffffff5939c2ca,0
258,deterministic_random,-485144542343,-91366348336,8f0b21c379,eaba2429d0,00000000054f546fcd,0
259,deterministic_random,-972345504,-474895417281,ffc60b2f60,916e07003f,000000000000862f40,0
260,deterministic_random,49675176805,140390749764,0b90df0b65,20aff0d644,00000000005a94f01e,0
261,deterministic_random,332641498373,-107684639451,4d72fa7505,e6ed7ecd25,fffffffffce935138f,0
262,deterministic_random,31407563606,-177394283375,0750096356,d6b27a0c91,ffffffffffd2ace2d3,0
263,deterministic_random,482697734121,0,706306e7e9,0000000000,000000000000000000,1
264,deterministic_random,-339335448880,-356238262819,b0fe07f6d0,ad0e8b7ddd,0000000000f3da71ac,0
265,deterministic_random,55971105637,-361992272262,0d08234b65,abb794467a,ffffffffffd86ad954,0
266,deterministic_random,-413754093327,-49056896395,9faa5590f1,f493fb2a75,00000000086f259e11,0
267,deterministic_random,-492391063152,-493089298520,8d5b34a190,8d319667a8,0000000000ffa332c0,0
268,deterministic_random,-336322062926,242591117272,b1b1a495b2,387b8eafd8,fffffffffe9d1694d0,0
269,deterministic_random,183257879983,354514333770,2aab0555af,528ab3704a,000000000084554cca,0
270,deterministic_random,23948242740,-294138645703,05936d2f34,bb83f87339,ffffffffffeb282d10,0
271,deterministic_random,-12411840885,303898499920,fd1c32568b,46c1c31b50,fffffffffff58b5fee,0
272,deterministic_random,-279423308574,1025982746,bef112ace2,003d27411a,fffffffeefa72becb8,0
273,deterministic_random,-415195706395,-408444961245,9f54684be5,a0e6c87e23,0000000001043b2c77,0
274,deterministic_random,-49482748303,-89492784907,f47a992e71,eb29d078f5,00000000008d8c74d3,0
275,deterministic_random,518093702921,491181843335,78a0ca8709,725cb82387,00000000010e06b7e2,0
276,deterministic_random,-21337311707,-146239459296,fb08327625,ddf372f020,0000000000255a23a0,0
277,deterministic_random,-547666774390,-465897714072,807c84368a,9386550e68,00000000012cee21dd,0
278,deterministic_random,473438463098,-120113491511,6e3b21a47a,e408ad91c9,fffffffffc0ef3c7a3,0
279,deterministic_random,-423765386117,119199421839,9d559d5c7b,1bc0d6d58f,fffffffffc71e53abe,0
280,deterministic_random,-29513567911,515955889761,f920dab159,78215e1661,fffffffffff15b3a46,0
281,deterministic_random,-342835350305,532094069889,b02d6bb4df,7be3472c81,ffffffffff5b0e4692,0
282,deterministic_random,261997762527,-55486856578,3d004897df,f314b9c27e,fffffffffb473834bb,0
283,deterministic_random,345314830291,78754027965,50665e27d3,12561b19bd,0000000004627d6668,0
284,deterministic_random,-275945169706,497021777272,bfc062dcd6,73b8ce7578,ffffffffff71de9645,0
285,deterministic_random,-54240105546,-233459817265,f35f09abb6,c9a4b5e4cf,00000000003b7a1659,0
286,deterministic_random,415684258692,468187741630,60c8b66b84,6d0229fdbe,0000000000e34aaa67,0
287,deterministic_random,-128738561304,-308891987185,e2069572e8,b8149a530f,00000000006ab1c9d0,0
288,deterministic_random,-465431183420,537561937214,93a223bfc4,7d2930353e,ffffffffff2259b479,0
289,deterministic_random,-475934176293,-462813695045,91301ccbdb,943e2773bb,00000000010741e7ab,0
290,deterministic_random,63184690975,-479767399152,0eb619df1f,904ba27510,ffffffffffde490046,0
291,deterministic_random,256240378675,213580888471,3ba91de333,31ba69b997,00000000013321ce48,0
292,deterministic_random,-60794440048,401340656740,f1d85e7690,5d71c46c64,ffffffffffd938b62f,0
293,deterministic_random,-376599116852,329149422121,a850f183cc,4ca2d59a29,fffffffffedb186d50,0
294,deterministic_random,-453057292259,-143805085947,9683ae581d,de848c8705,00000000032686e164,0
295,deterministic_random,-30227826918,95972717029,f8f647f71a,16586b71e5,ffffffffffaf5e9a9b,0
296,deterministic_random,370265809886,157985984637,56358fe3de,24c8b2d07d,000000000257fa421a,0
297,deterministic_random,-341897107104,-333585495615,b065582960,b254c149c1,00000000010660e4e0,0
298,deterministic_random,169141627992,-59933054529,2761a06c58,f20bb629bf,fffffffffd2d85dfb0,0
299,deterministic_random,120007170473,-2284623510,1bf0fc19a9,ff77d3696a,ffffffffcb78c79a6f,0
300,deterministic_random,-430623016525,-233002835911,9bbcde39b3,c9bff2e039,0000000001d920072b,0
301,deterministic_random,-506429004194,-439311096116,8a167aa65e,99b704a6cc,0000000001271c957d,0
302,deterministic_random,-89829186646,-23186290566,eb15c363aa,fa99fd487a,0000000003dfce0051,0
303,deterministic_random,-313462472680,133546018397,b7042e4018,1f17f6865d,fffffffffda71c4d45,0
304,deterministic_random,-127048094660,202321830011,e26b57ec3c,2f1b52207b,ffffffffff5f3ea2cc,0
305,deterministic_random,499614899548,-485604276741,74535e5d5c,8eefbac5fb,fffffffffef89d28dd,0
306,deterministic_random,124229483445,466987124892,1ceca77bb5,6cba9a089c,0000000000441a1b5a,0
307,deterministic_random,-513697878284,137304911031,8865386ef4,1ff802acb7,fffffffffc423aa22e,0
308,deterministic_random,-481597279540,-537382391184,8fde90b2cc,82e1837270,0000000000e56cc684,0
309,deterministic_random,-382316257645,334859619722,a6fc2cde93,4df7304d8a,fffffffffedbb82c49,0
310,deterministic_random,-158338889168,-443052646443,db22444a30,98d8011fd5,00000000005b7d5d43,0
311,deterministic_random,-153291837676,-523658969840,dc4f182f14,86137e3d10,00000000004af07f34,0
312,deterministic_random,189941920338,-459352494407,2c396bb252,950c752eb9,ffffffffff9624e976,0
